資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
政府公開資訊,105022,政府公開資訊(法令規章及行政規則本館組織/執掌、施政計畫、業務統計、研究報告、預算、決算書、會計月報、主計相關事項、公共工程及採購契約、支付或接受之輔助、政策宣導相關廣告執行情形表、接收外界捐贈款辦理情形、個資保護、派遣勞工權益維護暨申訴機制、性別平等政策、內部控制),Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立臺灣史前文化博物館
新聞公告,105043,新聞公告,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立臺灣史前文化博物館
史前館會計月報,105074,會計月報,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立臺灣史前文化博物館
中正紀念堂預算報表,105140,中正紀念堂預算報表,Id;SiteId;UnitId;BaseCategoryName;PublishTime;Subject;DownCount;Mutilattach,國立中正紀念堂管理處
中正紀念堂新聞稿,105185,中正紀念堂新聞稿,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立中正紀念堂管理處
中正紀念堂行政規則,105738,中正紀念堂行政規則,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立中正紀念堂管理處
臺文館會計相關報表,105932,臺文館會計相關報表,Id;SiteId;UnitId;BaseCategoryName;PublishTime;Subject;DownCount;Mutilattach,國立臺灣文學館
兒童文化館-聽書(有聲書)書目,113587,文化部兒童文化館網站之聽書(有聲書)書目,category;name;intro;url,文化部
文資局口述傳統,113747,國家文化資產網之口述傳統資訊。,caseId;caseName;assetsClassifyCode;assetsClassifyName;assetsTypes;computeType;judgeCriteria;registerReason;lawsReference;officialDocNo;registerDate;govInstitutionName;belongCity;representImage;representImageSource;historyDevelopment;hostUnitName;hostContactorName;hostContactorPhone;hostContactorAddress;ceremonyFeature,文化部文化資產局
文資局傳統知識與實踐,113750,國家文化資產網之傳統知識與實踐資訊。,caseId;caseName;assetsClassifyCode;assetsClassifyName;assetsTypes;computeType;judgeCriteria;registerReason;lawsReference;officialDocNo;registerDate;govInstitutionName;belongCity;representImage;representImageSource;historyDevelopment;holdCalendarType;holdStartMonth;holdStartDay;holdPeriod;hostUnitName;hostContactorName;hostContactorPhone;hostContactorAddress;ceremonyFeature,文化部文化資產局
文資局傳統表演藝術,114126,國家文化資產網之傳統表演藝術資訊。,caseId;caseName;assetsClassifyCode;assetsClassifyName;assetsTypes;computeType;judgeCriteria;registerReason;lawsReference;officialDocNo;registerDate;govInstitutionName;belongCity;representImage;representImageSource;recorder;historyDevelopment,文化部文化資產局
