資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
嘉義縣政府-資訊公開專區-法律、法規及行政規則,36907,法律、法規及行政規則,ArticleType;FileName;Link;Source;標題;內容;相關檔案;相關連結,嘉義縣政府
嘉義縣政府-資訊公開專區-施政計畫及業務統計,36908,施政計畫及業務統計,ArticleType;FileName;Link;Source;類別;標題;內容;相關檔案;相關連結,嘉義縣政府
嘉義縣政府-資訊公開專區-常用資訊,36909,常用資訊,ArticleType;FileName;Link;Source;標題;內容;相關檔案;相關連結,嘉義縣政府
嘉義縣政府-資訊公開專區-組織、職掌及聯絡資訊,36910,組織、職掌及聯絡資訊,ArticleType;FileName;Link;Source;標題;內容;相關檔案;相關連結,嘉義縣政府
嘉義縣政府-資訊公開專區-保有之個人資料項目,36911,保有之個人資料項目,ArticleType;FileName;Link;Source;標題;內容;相關檔案;相關連結,嘉義縣政府
嘉義縣政府-資訊公開專區-請願結果及訴願決定,36912,請願結果及訴願決定,ArticleType;FileName;Link;Source;標題;內容;相關檔案;相關連結,嘉義縣政府
嘉義縣政府-資訊公開專區-嘉義縣議會工作報告,36913,嘉義縣議會工作報告,ArticleType;FileName;Link;Source;標題;內容;相關檔案;相關連結,嘉義縣政府
嘉義縣政府-影音頻道,36914,影音頻道,ArticleType;FileName;Link;Source;主題;影片來源,嘉義縣政府
嘉義縣政府綜合規劃處_新聞資訊,36922,嘉義縣政府綜合規劃處_新聞資訊,ArticleType;FileName;Link;Source;類別;主題;內容;備註;上版日期;相關檔案;相關連結;相關圖片;相關影音,嘉義縣政府
嘉義縣政府綜合規劃處-最新訊息-公告資訊,36923,嘉義縣政府綜合規劃處_公告資訊,ArticleType;FileName;Link;Source;公告主旨;內容;公告依據;相關檔案;相關連結;相關圖片;相關影音,嘉義縣政府
嘉義縣政府綜合規劃處_活動資訊,36925,嘉義縣政府綜合規劃處_活動資訊,ArticleType;FileName;Link;Source;主題;內容;相關檔案;相關連結;相關圖片;相關影音,嘉義縣政府
嘉義縣政府綜合規劃處-便民服務,36926,嘉義縣政府綜合規劃處_便民服務,ArticleType;FileName;Link;Source;類別;標題;申請人資格;申請人應備證件;處理期限;處理流程;申請方式;備註欄;相關檔案,嘉義縣政府
嘉義縣政府綜合規劃處-檔案下載,36927,嘉義縣政府綜合規劃處_檔案下載,ArticleType;FileName;Link;Source;檔案名稱;檔案說明;相關檔案;相關圖片,嘉義縣政府
