民營遊樂園基本資料,['38257']
民營遊樂園安全檢查資料,['46676']
民營飛行場一覽表,['8092']
民用航空局單位決算,['101821']
民用航空局單位預算,['101825']
民用航空局單位預算會計報告,['101834']
民用航空局單位預算案,['101826']
民用航空局最新消息,['130222']
民用航空局獎補助費明細表,['77074']
民用航空站服務台,['8093']
民眾對施政措施滿意度調查,['6251']
民眾日常使用運具狀況調查,['6248']
民航事業作業基金附屬單位分決算,['77075']
民航事業作業基金附屬單位分預算,['101823']
民航事業作業基金附屬單位分預算案,"['100138', '101822']"
民航局-振興3倍券通訊交易適用業者名單,['127634']
民航局所屬機場(不含桃園)近旅客人數趨勢及增減率,['29072']
民航運輸各機場營運量,"['31915', '33238']"
氣象局本部專業氣象服務及氣象資料申購件數,"['10879', '10881']"
氣象政策白皮書,['10314']
氣象法,['10555']
氣象測站基本資料,['106682']
氣象預報警報統1發布辦法,['10305']
氣象類委託研究計畫項目及研究主題與重點,['10291']
水域遊憩活動,['38872']
決算主要表,['20242']
汽車所有人性別統計,['33692']
汽車貨運調查,['6307']
汽車駕照性別統計,['33689']
波浪統計-臺灣海域各地浪高週期波向觀測月統計,['33535']
波浪預報模式資料-台灣海域預報資料,['9197']
活動 -觀光資訊資料庫,['7778']
海嘯資訊資料,['7774']
海岸潮線預報圖,['98758']
海平面統計-臺灣各地潮位觀測月平均海平面,['33534']
海流模式,['96807']
海溫統計-臺灣海域各地海溫觀測月統計,['40574']
海象觀測測站資料,['122532']
海面天氣預報,['7776']
海面天氣預報-海面天氣預報,['15789']
溫度分布,['96582']
溫度分布圖,['17123']
溫泉業務,['38876']
滿潮預報圖-今日滿潮預報影像圖,['9198']
滿潮預報圖-後天滿潮預報影像圖,['9200']
滿潮預報圖-明日滿潮預報影像圖,['9199']
滿潮預報圖-第4天滿潮預報影像圖,['9201']
滿潮預報圖-第5天滿潮預報影像圖,['9202']
滿潮預報圖-第6天滿潮預報影像圖,['9203']
滿潮預報圖-第7天滿潮預報影像圖,['9204']
潮位統計,['98773']
潮汐表-明年高低潮時潮高預報,['9205']
潮汐預報-未來1個月潮汐預報,['7038']
潮高預報,['7775']
澎湖縣海域漁業海水溫預警,['98749']
災害性天氣之定義,['10313']
無故不參加道安講習等(24條)性別統計,['33697']
無照駕駛等(21條)性別統計,['33696']
無障礙旅遊行程,['38830']
燈塔燈質表,['28142']
營業里程及車站數,['33387']
特色郵筒設置地點,['52781']
環島1號線數值路網圖,['42698']
