合理加強各項規費及其他服務性收入之研究,['11798']
合理規劃公債發行之研究,['11799']
合理規劃員工認股權課稅制度之研究,['11800']
啤酒花殘留農藥之背景值調查及衛生標準評估委託研究報告,['11496']
單位決算,['34223']
單位預算(按年),['34225']
單位預算案(按年),['34220']
國內營利事業機關團體及執行業務事務所於結算申報期間查詢所得資料作業疑義,['25588']
國家(地區)出口總值排名前30名(當月及1至當月累積),['39051']
國家(地區)貿易總值排名前30名(當月及1至當月累積),['39052']
國家(地區)進口總值排名前30名(當月及1至當月累積),['39050']
國家賠償統計資料,['7545']
國家金融安定基金每季公告之財務報表、每年之決算書,['24590']
國庫券標售概況表,['7385']
國庫券發行明細表,['41148']
國庫券發行計畫表,['25298']
國庫支出,['8477']
國庫支票簽發作業電子化之研究,['11517']
國庫收入,['8476']
國庫收支應用科目及其代號表,['12010']
國庫經辦行家數統計表,['25027']
國庫經辦行通訊錄一覽表,['12560']
國庫署保有及管理個人資料之項目彙整表,['12007']
國庫署各年度獎補助費,['8177']
國庫署單位會計報表,['20193']
國庫署單位決算書,"['20430', '30269', '44632', '79696', '100795', '118272']"
國庫署單位預算,"['21322', '35328']"
國庫署單位預算書,"['26940', '44060', '78056', '99191', '119189']"
國庫署單位預算案,"['53149', '90921', '107585', '129979']"
國庫資金流通狀況,['8478']
國庫集中支付業務-代繳中央政府各機關各項稅費之作業成效,['30940']
國庫集中支付業務-國庫支票簽發及匯款作業量,['8221']
國庫集中支付業務-國庫支票註銷作廢原因統計分析表,['41145']
國庫集中支付業務-庫款支付金額分析及統計,['8226']
國庫集中支付業務-支用機關名冊,['30941']
國庫集中支付業務-支用機關概況表,['12111']
國庫集中支付業務-支用機關額定零用金額度一覽表,['30950']
國庫集中支付業務-月作業量統計表,['12113']
國庫集中支付業務-機關分布情形統計表,['30948']
國庫集中支付業務-歷年各項作業統計與分析表,['12122']
國庫集中支付業務-歷年實施電子支付機關統計表,['8222']
國庫集中支付業務-歷年庫款支付情形統計分析表,['12118']
國庫集中支付業務-預算管制作業量,['8227']
國有事業用財產數量價值統計表,['8326']
國有公共用財產數量價值統計表,['8325']
國有公務用財產數量價值統計表,['8324']
國有公用及公司組織財產線上傳輸系統主管機關第2至4碼基金編碼表,['24119']
國有公用及公司組織財產線上傳輸系統交換媒體檔傳輸規格,['24112']
國有公用及公司組織財產線上傳輸系統交換媒體檔匯入錯誤清冊(土地、房屋、結存表、目錄總表)處理說明,['24116']
國有公用及公司組織財產線上傳輸系統交換媒體檔檢核程式操作使用手冊,['24113']
國有公用及公司組織財產線上傳輸系統交換媒體檔講義,['24114']
國有公用及公司組織財產線上傳輸系統交換媒體檔資料匯入匯出申請畫面訊息及處理說明,['24115']
國有公用及公司組織財產線上傳輸系統基金代碼表,['24117']
國有公用及公司組織財產線上傳輸系統基金編碼原則,['24118']
國有公用建築用地活化作業執行情形,['11895']
國有公用財產管理情形實地訪查座談會紀錄目錄,['24127']
國有公用財產管理情形實地訪查發現之通案缺失目錄,['24123']
國有土地參與都市更新後分回房地處理機制計畫總結報告書,['24095']
國有土地招標設定地上權作業標準化之研究成果報告書,['24094']
國有土地清理活化督導小組歷次會議議程及紀錄目錄,['24128']
國有土地清理活化督導小組設置要點,['24126']
國有財產估價委員會評定案件數量統計,['30588']
國有財產局50週年慶紀念專刊,['24103']
國有財產會計制度,['24092']
國有財產業務英譯詞彙,['24110']
國有財產總目錄,['46806']
國有財產總目錄彙總表,['46805']
國有財產署保有及管理個人資料之項目彙整表,['24090']
國有財產署個人資料保護管理要點,['24091']
國有財產署其他業務問答,['24109']
國有財產署及所屬單位決算書,['24098']
國有財產署及所屬單位預算書,['24097']
國有財產署及所屬單位預算案,['24099']
國有財產署及所屬對民間團體及個人之補捐助資料,['62593']
國有財產署及所屬機關官等學歷統計報表,['30586']
國有財產署及所屬機關官等性別統計報表,['30587']
國有財產署及所屬歷年單位決算,['17492']
國有財產署及所屬歷年單位預算,['12438']
國有財產署及所屬歷年單位預算案,['12442']
國有財產署及所屬歷年會計報告,['17493']
國有財產署各分支機構業務轄區、地址及電話一覽表,['24086']
國有財產署各分署辦理平面式收費臨時停車場契約存續中案件收益統計表,['46820']
國有財產署各分署辦理平面式收費臨時停車場契約存續中案件統計表,['30614']
國有財產署國家賠償事件處理情形統計表,['24087']
國有財產署採購案件統計表,['30589']
國有財產署提升服務品質執行計畫,['24089']
國有財產署書面之公共工程及採購契約,['24100']
國有財產署最新條列式行政規則,['24105']
國有財產署最新法規命令,['24104']
國有財產署最新消息,['24083']
國有財產署最新非條列式行政規則,['24106']
國有財產署業務年報,['24101']
國有財產署歷年辦理國有土地估價案件統計,['24133']
國有財產署結合目的事業主管機關完成招商之改良利用國有非公用不動產案件招標方式一覽表,['30613']
國有財產署結合目的事業主管機關辦理國有非公用不動產改良利用案件區域及國有土地面積統計分析表,['30612']
國有財產署結合目的事業主管機關辦理國有非公用不動產改良利用案件引進產業類型及國有土地面積統計表,['30611']
國有財產署結合目的事業主管機關辦理國有非公用不動產改良利用案件引進產業類型及效益分析表,['46821']
國有財產署結合目的事業主管機關辦理國有非公用不動產改良利用案件收益統計表,['30610']
國有財產署結合目的事業主管機關辦理國有非公用不動產改良利用案件簽約對象分析表,['46822']
國有財產署結合目的事業合作開發國有土地實作手冊,['24102']
國有財產署綠色採購執行統計表,['30590']
國有財產署職員各類考試及格人數統計,['24130']
國有財產署職員學歷統計,['24129']
國有財產署職員年齡統計,['24131']
國有財產署職員性別統計,['24132']
國有財產署辦理國有非公用土地招標設定地上權案件之各縣市統計表,['46823']
國有財產署辦理國有非公用土地招標設定地上權案件地租統計表,['30609']
國有財產署辦理國有非公用土地招標設定地上權案件權利金統計表,['30608']
國有財產署辦理國有非公用土地招標設定地上權案件清冊,['30607']
國有財產署辦理國有非公用土地招標設定地上權案件統計表,['30606']
國有財產署辦理國有非公用財產委託經營契約存續中案件統計表,['30605']
國有財產署辦理委託經營存續中案件收益統計表,['46819']
國有財產署辦理政策宣導相關廣告明細表,['24088']
國有財產署重要專案,['24084']
國有財產署重要措施,['24085']
國有財產開發基金歷年會計月報,['17495']
國有財產開發基金歷年附屬單位決算,['17494']
國有財產開發基金歷年附屬單位預算案,['12444']
國有非公用不動產出租統計,['36962']
國有非公用不動產擬改良利用資訊,['13162']
國有非公用不動產擬讓售房地資訊,['9661']
國有非公用不動產標售收入統計表,['46816']
國有非公用不動產標租收入統計表,['46815']
國有非公用不動產機關用地資訊,['9660']
國有非公用不動產讓售收入統計,['46817']
國有非公用住宅用地統計表(年報),['36963']
國有非公用土地招標設定地上權案件衍生相關問題之研究總結報告書,['24096']
國有非公用土地提供綠美化資訊公開,['6054']
國有非公用土地提供辦理綠美化案件統計表,['36959']
國有非公用土地未標脫資訊,['9659']
國有非公用土地管理區分報告表,['30581']
國有非公用土地管理區分報告表(依單位統計),['30582']
國有非公用土地管理區分報告表(依縣市統計),['30583']
國有非公用土地綠美化成果資訊,['9658']
國有非公用房地數量價值報告表,['8328']
國有非公用房地數量價值報告表(依單位統計),['30579']
國有非公用房地數量價值報告表(依縣市統計),['30580']
國有非公用房地未標脫資訊,['13152']
國有非公用房屋管理區分報告表,['8329']
國有非公用房屋管理區分報告表(依單位統計),['30584']
國有非公用房屋管理區分報告表(依縣市統計),['30585']
國有非公用財產招標設定地上權未標脫資訊,['13151']
國有非公用財產招標設定地上權資訊,['9657']
國有非公用財產招標設定地上權開標結果,['13150']
國有非公用財產數量價值統計表,['8327']
國有非公用財產標售不動產未標脫資訊,['13146']
國有非公用財產標售不動產資訊,['9655']
