資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
中部科學園區職業安全最新公告月資料統計,7943,中部科學園區職業安全最新公告月統計資料。,bullsubject;bulldate;stpdate,科技部中部科學園區管理局
中部科學園區創新研發獎助輔助資料統計,7944,中部科學園區創新研發獎助輔助資料。,don_year;don_payee;don_item;aud_date;don_amout;apl_date;apl_amout;don_no,科技部中部科學園區管理局
中部科學園區入區登記(營運)廠商明細表統計月報,7945,中部科學園區入區登記(營運)廠商明細表月報資料。,,科技部中部科學園區管理局
新竹科學園區來賓統計資料,7946,國內外參訪竹科來賓資料統計,統計年月;本國(人);外國(人);亞洲(人);歐洲(人);非洲(人);北美(人);中南美(人);大洋洲(人);本國(批);外國(批),科技部新竹科學園區管理局
新竹科學園區靜心湖導覽,7947,新竹科學園區靜心湖導覽、景點、休憩點、交通資料。,資料類別;景點名稱;說明;照片連結,科技部新竹科學園區管理局
新竹科學園區人才培訓課程,7948,人才培訓相關課程,年度;計劃類別;執行單位;課程名稱,科技部新竹科學園區管理局
新竹科學園區公共藝術,7949,新竹科學園區公共藝術，包括新竹科學園區、竹南科學園區公共藝術資料。,,科技部新竹科學園區管理局
新竹科學園區管理局工程承包商聯絡資料,7950,園區在建中公共工程聯絡資訊,,科技部新竹科學園區管理局
新竹科學園區管理局活動訊息,7951,管理局各組室對外發佈活動訊息，包括：藝文活動、會議、教育訓練等。,發佈單位;發佈日期;下架日期;舉辦時間(起);舉辦時間(迄);活動分類;地點;標題;詳細內容,科技部新竹科學園區管理局
新竹科學園區新設暨遷址入區登記廠商月報,7952,最近1年新竹科學園區新設暨遷址入區登記廠商，包括新竹科學園區、竹南科學園區、龍潭科學園區、銅鑼科學園區、新竹生物醫學園區、宜蘭科學園區等登記廠商資料。,廠商代碼;統一編號;廠商名稱;事業類別;入區核准日期,科技部新竹科學園區管理局
科技部新竹科學園區管理局單位預算(法定預算),12128,科技部新竹科學園區管理局單位預算表,,科技部新竹科學園區管理局
