資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
國防部後備指揮部國民革命忠烈祠簡介,20498,說明國民革命忠烈祠沿革、入祀條件、駐祀儀隊、服務項目、地理位置及服務時間,國民革命忠烈祠沿革;入祀條件;駐祀儀隊;服務項目;地理位置及服務時間,國防部
國防部後備指揮部國軍示範公墓簡介,20500,說明國防部後備指揮部國軍示範公墓簡介、服務對象、線上服務項目及交通聯繫資訊,國防部後備指揮部國軍示範公墓簡介;服務對象;線上服務項目及交通聯繫資訊,國防部
國軍退除役官兵輔導委員會承接退除給付業務事宜,20501,因應「國軍退除役官兵輔導委員會」組織調整，經行政院核定於102年11月1日依法成立，增設「退除給付處」承接國防部移撥之退除役官兵退休給付等37項業務,退除給與發放作業;眷補作業及國軍退除役官兵輔導委員會各縣市通訊聯絡表,國防部
國防部主管及所屬決算資料（公開部分）,20502,主管決算說明,https://www.mnd.gov.tw/NewUpload/userfiles/File/%E4%B8%BB%E8%A8%88%E5%B1%80/%E8%B3%87%E6%96%99%E9%9B%86/102%E5%B9%B4%E5%BA%A6%E5%9C%8B%E9%98%B2%E9%83%A8%E4%B8%BB%E7%AE%A1%E6%B1%BA%E7%AE%97(%E5%85%AC%E9%96%8B).pdf;https://www.mnd.gov.tw/newUpload/files/%e5%9c%8b%e9%98%b2%e9%83%a8103%e5%b9%b4%e4%b8%bb%e7%ae%a1%e5%8f%8a%e6%89%80%e5%b1%ac%e6%b1%ba%e7%ae%97%e8%b3%87%e6%96%99.rar;https://www.mnd.gov.tw/NewUpload/userfiles/File/%E4%B8%BB%E8%A8%88%E5%B1%80/%E8%B3%87%E6%96%99%E9%9B%86/104%E5%B9%B4%E5%BA%A6%E5%9C%8B%E9%98%B2%E9%83%A8%E6%89%80%E5%B1%AC%E5%96%AE%E4%BD%8D%E9%A0%90%E7%AE%97(%E5%85%AC%E9%96%8B).pdf;http://www.mnd.gov.tw/NewUpload/201710/105%E5%B9%B4%E5%BA%A6%E5%9C%8B%E9%98%B2%E9%83%A8%E6%9A%A8%E6%89%80%E5%B1%AC%E5%96%AE%E4%BD%8D%E6%B1%BA%E7%AE%97%E8%B3%87%E8%A8%8A_152364.pdf;http://www.mnd.gov.tw/NewUpload/201810/106%E5%B9%B4%E5%BA%A6%E5%9C%8B%E9%98%B2%E9%83%A8%E6%9A%A8%E6%89%80%E5%B1%AC%E5%96%AE%E4%BD%8D%E6%B1%BA%E7%AE%97%E8%B3%87%E8%A8%8A-%E5%AF%A9%E5%AE%9A_130883.pdf;http://www.mnd.gov.tw/NewUpload/201909/107%E5%B9%B4%E5%BA%A6%E5%9C%8B%E9%98%B2%E9%83%A8%E6%9A%A8%E6%89%80%E5%B1%AC%E5%96%AE%E4%BD%8D%E6%B1%BA%E7%AE%97%E8%B3%87%E8%A8%8A_013511.pdf,國防部
國軍菸害暨檳榔防制成果,20509,菸害暨檳榔防制成果、政策與環境、衛教與宣導、戒治與服務、研究與監測、法規彙整、無菸醫院。,,國防部
常備兵現役病傷殘廢停役檢定標準,20511,常備兵現役病傷殘廢停役檢定標準、重要關節運動限制檢定表、肺功能檢查作業、判讀標準。,序號;罕病介紹;醫院;內容,國防部
體位區分標準,20512,體位區分標準表、常備役體位、替代役體位、免役體位、身高體重體位區分標準表、關節運動測量方式。,,國防部
空軍軍官學校招生資訊,20513,提供空軍官校學校政策、新聞、活動訊息、公告、文宣等各項便民服務之中、英文公開資訊,,國防部
空軍軍官學校檔案開放應用線上申辦,20514,開放人員申請借閱一般普通檔案,,國防部
空軍軍官學校軍史館參觀申請,20519,機關團體蒞臨軍史館參觀申請,,國防部
空軍軍官學校軍史館簡介,20520,軍史館簡介,,國防部
國軍營舍及設施改建基金103年度審定決算,21614,103年度審定決算,,國防部
公務人員職缺徵才,21619,本部公務人員外補職缺公告,,國防部
10409-國防部公務人員預算與現有員額統計表,21624,本部公務人員現有員額狀況,,國防部
國軍生產及服務作業基金附屬單位預算(非營業部分),21659,國軍生產及服務作業基金法定預算公開資料,https://www.mnd.gov.tw/newUpload/files/%e7%94%9f%e6%9c%8d%e5%9f%ba%e9%87%91105%e5%b9%b4%e5%ba%a6%e9%a0%90%e7%ae%97%e6%a1%88(1).pdf;http://www.mnd.gov.tw/NewUpload/201902/106%E5%B9%B4%E5%9C%8B%E8%BB%8D%E7%94%9F%E7%94%A2%E5%8F%8A%E6%9C%8D%E5%8B%99%E4%BD%9C%E6%A5%AD%E5%9F%BA%E9%87%91%E9%99%84%E5%B1%AC%E5%96%AE%E4%BD%8D%E9%A0%90%E7%AE%97(%E9%9D%9E%E7%87%9F%E6%A5%AD%E9%83%A8%E5%88%86)_500819.pdf;http://www.mnd.gov.tw/NewUpload/201902/107%E5%B9%B4%E5%9C%8B%E8%BB%8D%E7%94%9F%E7%94%A2%E5%8F%8A%E6%9C%8D%E5%8B%99%E4%BD%9C%E6%A5%AD%E5%9F%BA%E9%87%91%E9%99%84%E5%B1%AC%E5%96%AE%E4%BD%8D%E9%A0%90%E7%AE%97(%E9%9D%9E%E7%87%9F%E6%A5%AD%E9%83%A8%E5%88%86)_504399.pdf;http://www.mnd.gov.tw/NewUpload/202001/108%E5%B9%B4%E5%9C%8B%E8%BB%8D%E7%94%9F%E7%94%A2%E5%8F%8A%E6%9C%8D%E5%8B%99%E4%BD%9C%E6%A5%AD%E5%9F%BA%E9%87%91%E9%99%84%E5%B1%AC%E5%96%AE%E4%BD%8D%E9%A0%90%E7%AE%97(%E9%9D%9E%E7%87%9F%E6%A5%AD%E9%83%A8%E5%88%86)_314914.pdf,國防部
