資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
身心障礙國民運動會歷屆資料,6527,本資料集主要提供自民國83年至105年所舉辦之身心障礙國民運動會資料，主要內容係舉辦日期、競賽種類、聯誼項目、參與縣市單位、民俗競賽種類、該年舉辦主題、吉祥物及參與人數等資料。,年度;承辦單位;舉辦日期;競賽項目;競賽種類;聯誼項目;參與縣市單位;主題;吉祥物;聖火引燃地點;男生人數;女生人數;參加人/參加選手,教育部體育署
國內高爾夫球場,6528,本資料集主要內容係國內高爾夫球場之相關資料。,編號;球場所在縣市;球場名稱;球場所在地;經營主體;核准面積(公頃);洞數;核准開放使用文號;連絡電話;傳真,教育部體育署
青年旅遊卡資訊,6630,本資料集為教育部青年發展署針對15-30歲青年發行免費申辦的青年旅遊卡，持卡青年可享景點門票、住宿、交通、小吃購物、中文學習等優惠。為利青年申辦青年旅遊卡，結合交通部觀光局旅客服務中心、青年志工中心、華語文中心及部分縣市政府、民間團體等計119個服務據點，提供青年旅遊諮詢服務網絡及申辦青年旅遊卡。,地區;序號;旅服中心名稱;服務時間;電話;地址;,教育部青年發展署
亞奧運運動單項協會,6673,本資料集主要內容係亞奧運運動單項協會之聯絡資料。,亞奧運運動單項協會名稱;通訊地址;電話,教育部體育署
各縣市體育會,6674,本資料集主要內容係體育會之聯絡資料。,體育會名稱;通訊地址;電話,教育部體育署
青年工讀、見習及競賽活動訊息,6677,本資料集彙整青年署提供青年工讀、見習及競賽活動訊息。,計畫名稱;活動介紹;活動期程;對象,教育部青年發展署
國立臺灣藝術教育館最新消息,6678,本資料集主要提供本館各種最新消息訊息。,title;description;link,國立臺灣藝術教育館
國立臺灣藝術教育館表演活動,6679,本資料集主要提供本館各種近期表演活動訊息。,title;description;link,國立臺灣藝術教育館
國立臺灣藝術教育館展覽活動,6680,本資料集主要提供本館各種近期展覽訊息。,title;description;link,國立臺灣藝術教育館
國立臺灣藝術教育館競賽活動,6681,本資料集主要提供本館各種競賽訊息。,title;description;link,國立臺灣藝術教育館
國立臺灣藝術教育館研習活動,6729,本資料集主要提供本館各種研習活動訊息。,title;description;link,國立臺灣藝術教育館
臺灣出版新書預告書訊,6730,本資料與全國新書資訊網「書目下載/批次下載」每月同步更新，資料內容係依據圖書出版前，各出版者向國家圖書館國際標準書號中心申請ISBN之新書書目資料。,書名;作者;出版單位;版次;出版年月;標題;適讀對象;類號;ISBN;開數;頁數;得獎紀錄,國家圖書館
國家圖書館最新活動訊息,6838,"國家圖書館辦理之各項最新活動訊息,如講座、教育訓練、影片欣賞、研習活動等",id;subject;content;foruser;date_activity_beg;date_activity_end;date_post_beg;date_post_end;unit;libraryid;type1;type2;type3;county;location;fee;notes;connect;phone;date_entry;refweb;reffile;refpic,國家圖書館
古籍書目資料,6839,書目資料,,國家圖書館
青年壯遊點資訊,7017,本資料集為教育部青年發展署提供15~35歲青年規劃一系列壯遊體驗學習活動，與非營利組織合作建置青年壯遊點，提供全年度常態性且深度的在地服務，例如旅遊諮詢、背包寄放、導覽解說等，並辦理以文化、部落、生態、農村、漁村、志工、體能為主題之體驗學習活動，以多元方式讓更多青年認識在地社區特色與故事及體驗臺灣文化。,地區;序號;旅服中心名稱;服務時間;電話;地址;,教育部青年發展署
國立自然科學博物館劇場影片放映時間表,7175,本資料集主要提供國立自然科學博物館涉及與民眾相關之參觀資訊，主要內容為太空、立體、環境及鳥瞰等劇場今日放映之影片資訊。,category;title;keyword;content;url;dtype;activity_date;post_date;online;ontop;zone;loc_gps;loc_note;session;target_visitor;stay_length;fee;contact;host;registration_status;related_image;related_file;updated,國立自然科學博物館
國立科學工藝博物館公共設施位置資訊,7176,本資料集主要提供包含科工館戶外設施，(包含停車場、無障礙設施、公廁、公車站、戶外展示)與館內設施(包含飲水機、公廁、服務台、寄物處、用餐處)等資訊，以GPS位置或描述文字方式提供。,類型;設施名稱;位置;GPS-北;GPS-東;開放時間,國立科學工藝博物館
國立科學工藝博物館展示廳資訊,7177,本資料集主要提供科工館館內之各項常設展、特展資訊。,ID;Category;ExhibitionName;Floor;ExhibitionStartDate;ExhibitionEndDate;Website;Body;TicketInfo,國立科學工藝博物館
國立科學工藝博物館大銀幕電影資訊,7178,本資料集主要提供科工館每日大銀幕電影院場次時間、片名、票價資訊。,ID;ActStartDate;ActEndDate;Caption;CaptionE;Description;DescriptionE;MovieType;Long;Hits;TrailerLink;TrailerLinkE;Creator;CreateDate;Updator;UpdateDate,國立科學工藝博物館
國立自然科學博物館特展,7499,國立自然科學博物館涉及與民眾相關之參觀資訊，主要內容為當日特展資料。,category;title;keyword;content;url;dtype;activity_date;post_date;online;ontop;zone;loc_gps;loc_note;session;target_visitor;stay_length;fee;contact;host;registration_status;related_image;related_file;updated,國立自然科學博物館
國立自然科學博物館暨所屬三個園區活動,7500,本資料集主要提供國立自然科學博物館及所屬三個園區（921地震教育園區、車籠埔斷層保存園區、鳳凰谷鳥園生態園區）涉及與民眾相關之參觀資訊，主要內容為當日導覽解說、主題解說、科學演示、演講、特別活動、研習等活動資料。,category;title;keyword;content;url;dtype;activity_date;post_date;online;ontop;zone;loc_gps;loc_note;session;target_visitor;stay_length;fee;contact;host;registration_status;related_image;related_file;updated,國立自然科學博物館
國立臺灣圖書館出版品一覽表,7501,本資料集主要提供國立臺灣圖書館出版品一覽表，主要內容有出版品名稱、出版年及出版品定價。,編號;書名;出版年;定價,國立臺灣圖書館
全國圖書書目資訊網(NBINet),7502,NBINet「圖書聯合目錄」收錄的資料包括國家圖書館及95所各類型合作單位陸續提供之書目及館藏資料、國際標準書號中心新書書目、漢學研究中心藏書目錄。,"標準書號(ISBN, ISSN等);書名;編著者;版本;出版項;面頁數尺寸;集叢名;出版年;NBI紀錄號;ISBN (020$a);書名 (245$a$d);編著者 (245$c);版本 (250);出版項 (260);出版項 (264);面頁數尺寸 (300);集叢名(490/$a);出版年 (008/07-10);館藏地及索書號(949$a$d$e);NBI紀錄號 (907$a);ISBN;館藏地及索書號;NBINet系統號;ISBN (010$a);書名 (200$a$e);編著者 (200$f$g);版本 (205);[ 新竹市; 撰者];面頁數尺寸 (215);集叢名(225/$a);出版年 (100/09-12);館藏地及索書號 (805$a$d$e);NBINet系統號(090$a);出版項260;出版項264;書名 (245$a$b)",國家圖書館
漢學出版品書目資料,7503,書目資料,,國家圖書館
國立臺灣圖書館館藏日治時期期刊數位化清單,7546,本資料集主要提供國立臺灣圖書館館藏日治時期期刊數位化清單，條列本館館藏日治時期期刊刊名、典藏期數及保存卷期概況。,序號;刊名;索書號;期數;期卷號,國立臺灣圖書館
國立臺灣圖書館臺灣學系列講座資料集,7547,本資料集主要提供國立臺灣圖書館為加強推廣與深化臺灣學研究，辦理臺灣學系列講座之場次、時間、主講人、主講人職稱、講題、時間、地點、線上演講廳授權等訊息。,年度;場次;日期;主講人;職 稱;講題;地點;線上演講廳授權,國立臺灣圖書館
國立臺灣圖書館業務統計,7548,本資料集主要提供國立臺灣圖書館業務統計，藉由具代表性的統計資料，呈現國立臺灣圖書館的業務概況。,年度項目;服務人次;館藏量;外借冊數（含視聽）;辦證人數;使用館內電腦上網人次,國立臺灣圖書館
