司法統計月報地方法院民事消債聲請免責(不免責)終結情形,['44268']
司法統計月報地方法院民事第1審終結案件標的金額,['44265']
司法統計月報地方法院民事第1審終結案件訴訟種類,['44264']
司法統計月報地方法院民事終結事件訴訟程序,['44262']
司法統計月報地方法院簡易庭辦理刑事案件概況,['44280']
司法統計月報地方法院簡易庭辦理民事事件概況,['44263']
司法統計月報地方法院行政訴訟事件收結概況,['44275']
司法統計月報地方法院行政訴訟事件辦理概況,['44276']
司法統計月報地方法院通訊監察及通信調取案件收結情形,"['44289', '44290']"
司法統計月報大法官解釋案件收結情形,['44241']
司法統計月報懲戒法院再審案件收結件數及終結情形,['44253']
司法統計月報懲戒法院審理案件辦理概況,['44251']
司法統計月報懲戒法院懲戒法庭第1審懲戒案件收結件數及處分情形,['44252']
司法統計月報智慧財產法院案件辦理概況,['44254']
司法統計月報智慧財產法院終結案件訴訟種類,['44255']
司法統計月報最高法院刑事上訴案件終結情形,['44246']
司法統計月報最高法院刑事案件辦理概況,['44245']
司法統計月報最高法院民事上訴事件終結情形,['44244']
司法統計月報最高法院民事事件辦理概況,['44243']
司法統計月報最高行政法院行政訴訟上訴事件終結情形,['44248']
司法統計月報最高行政法院行政訴訟事件辦理概況,['44247']
司法統計月報處理人民陳訴案件收結情形,['44242']
司法統計月報高等法院及分院刑事案件終結件數,['44259']
司法統計月報高等法院及分院刑事案件辦理概況,['44258']
司法統計月報高等法院及分院民事事件終結件數,['44257']
司法統計月報高等法院及分院民事事件辦理概況,['44256']
司法統計月報高等行政法院行政訴訟事件辦理概況,['44249']
司法統計月報高等行政法院行政訴訟第1審事件終結情形,['44250']
各級法院-最新裁判書,['94184']
各級法院裁判書,"['43989', '43990', '43991', '43992', '43993', '43994', '43995', '43996', '43997', '43998', '43999', '44000', '44760', '44761', '44762', '44763', '44764', '44765', '44766', '44767', '44768', '44769', '44770', '44771', '44809', '44980', '44981', '44982', '44983', '44984', '44985', '44986', '44987', '44988', '44989', '44990', '44991', '45376', '45377', '45378', '45379', '45380', '45381', '45382', '45383', '45384', '45385', '45386', '45387', '45388', '45628', '45947', '45948', '45949', '45950', '45951', '45952', '45953', '45954', '45955', '45956', '45957', '45958', '46013', '46014', '46015', '46016', '46017', '46018', '46019', '46020', '46021', '46022', '46023', '46024', '46231', '46517', '46518', '46519', '46520', '46521', '46522', '46523', '46524', '46525', '46526', '46527', '46528', '47546', '47547', '47548', '47549', '47550', '47551', '47552', '47553', '47554', '47555', '47556', '47557', '47558', '47559', '47560', '47561', '47562', '47563', '47564', '47565', '47566', '47567', '47568', '47569', '48620', '48621', '48622', '48623', '48624', '48625', '48626', '48627', '48628', '48629', '48630', '48631', '48632', '48633', '48634', '48635', '48636', '48637', '48638', '48639', '48640', '48641', '48642', '48643', '48644', '48645', '48646', '48647', '48648', '48649', '48650', '48651', '48652', '48653', '48654', '48655', '48656', '49870', '49871', '49872', '49873', '49874', '49875', '49876', '49877', '49878', '49879', '49880', '49881', '49882', '49883', '49884', '49885', '49886', '49887', '49888', '49889', '49890', '49891', '49892', '49893', '49894', '49895', '49896', '49897', '49898', '49899', '49900', '49901', '49902', '49903', '49904', '49905', '49906', '53098', '53099', '53100', '53101', '53102', '53103', '53104', '53105', '53106', '53107', '53108', '53109', '53110', '53111', '53112', '53113', '53114', '53115', '53116', '53117', '53118', '53119', '53120', '53121', '54140', '54141', '54142', '54143', '54144', '54145', '54146', '54147', '54148', '54149', '54150', '54151', '54152', '54153', '54154', '54155', '54156', '54157', '54158', '54159', '54160', '54161', '54162', '54163', '54164', '68569', '68570', '76238', '76239', '76240', '76241', '92376', '92382']"
各級法院裁判書-應刪除裁判書資訊,['45475']
單位決算,"['14156', '18449', '27840', '29236', '45124', '78559', '78820', '79525', '80222', '100491', '107410', '120944']"
單位預算書(預算案),['129443']
嘉義地方法院會計月報,['108286']
律師對司法改革成效滿意度調查報告及調查資料檔,"['44197', '44198', '44199', '44200', '44201']"
懲戒法院單位預算案,['129489']
智慧財產法院單位決算,"['21142', '30563', '120802']"
智慧財產法院單位預算,['21141']
智慧財產法院單位預算(預算案),"['34211', '53010', '90548', '107416']"
智慧財產法院會計月報,['21143']
智慧財產法院法定預算,"['12456', '27381', '43960', '76662', '98677', '117520']"
智慧財產法院預算案,['12455']
最高法院單位決算,"['18555', '27895', '44671', '78563', '99955', '118438']"
最高法院單位決算-修正後,['32081']
最高法院單位預算,"['76416', '117525']"
最高法院單位預算案,"['21245', '34224', '52874', '90305', '107224', '129416']"
