資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
原住民族16族語方言之分布參考表,10078,原住民族16族語方言之分布參考表,Seq;DateListed;LanguageType;Region;Countryside;Village,原住民族委員會
歷年台閩縣市鄉鎮市區原住民族人口-按性別年齡,10134,歷年台閩縣市鄉鎮市區原住民族人口-按性別年齡,Seq;DateListed;Year;Month;CategorizedGeneralGeographic;Region;Countryside;Gender;TotalPopulation;Total0_4;Years0;Years1;Years2;Years3;Years4;Total5_9;Years5;Years6;Years7;Years8;Years9;Total10_14;Years10;Years11;Years12;Years13;Years14;Total15_19;Years15;Years16;Years17;Years18;Years19;Total20_24;Years20;Years21;Years22;Years23;Years24;Total25_29;Years25;Years26;Years27;Years28;Years29;Total30_34;Years30;Years31;Years32;Years33;Years34;Total35_39;Years35;Years36;Years37;Years38;Years39;Total40_44;Years40;Years41;Years42;Years43;Years44;Total45_49;Years45;Years46;Years47;Years48;Years49;Total50_54;Years50;Years51;Years52;Years53;Years54;Total55_59;Years55;Years56;Years57;Years58;Years59;Total60_64;Years60;Years61;Years62;Years63;Years64;Total65_69;Years65;Years66;Years67;Years68;Years69;Total70_74;Years70;Years71;Years72;Years73;Years74;Total75_79;Years75;Years76;Years77;Years78;Years79;Total80_84;Years80;Years81;Years82;Years83;Years84;Total85_89;Years85;Years86;Years87;Years88;Years89;Total90_94;Years90;Years91;Years92;Years93;Years94;Total95_100;Years95;Years96;Years97;Years98;Years99;Years100,原住民族委員會
100-103年台閩縣市原住民族人口-按性別族別(12月),10135,100年到103年原住民台閩縣市人口資料:性別、族別、平地原住民、山地原住民、16族、各縣市,Seq;DateListed;主題;資料紀錄,原住民族委員會
歷年台閩縣市原住民族人口-按性別年齡,10136,歷年台閩縣市原住民族人口-按性別年齡,Seq;DateListed;Year;Month;CategorizedGeneralGeographic;Region;Gender;TotalPopulation;Total0_4;Years0;Years1;Years2;Years3;Years4;Total5_9;Years5;Years6;Years7;Years8;Years9;Total10_14;Years10;Years11;Years12;Years13;Years14;Total15_19;Years15;Years16;Years17;Years18;Years19;Total20_24;Years20;Years21;Years22;Years23;Years24;Total25_29;Years25;Years26;Years27;Years28;Years29;Total30_34;Years30;Years31;Years32;Years33;Years34;Total35_39;Years35;Years36;Years37;Years38;Years39;Total40_44;Years40;Years41;Years42;Years43;Years44;Total45_49;Years45;Years46;Years47;Years48;Years49;Total50_54;Years50;Years51;Years52;Years53;Years54;Total55_59;Years55;Years56;Years57;Years58;Years59;Total60_64;Years60;Years61;Years62;Years63;Years64;Total65_69;Years65;Years66;Years67;Years68;Years69;Total70_74;Years70;Years71;Years72;Years73;Years74;Total75_79;Years75;Years76;Years77;Years78;Years79;Total80_84;Years80;Years81;Years82;Years83;Years84;Total85_89;Years85;Years86;Years87;Years88;Years89;Total90_94;Years90;Years91;Years92;Years93;Years94;Total95_100;Years95;Years96;Years97;Years98;Years99;Years100,原住民族委員會
歷年台閩縣市鄉鎮市區原住民族人口-按性別族別,10140,歷年台閩縣市鄉鎮市區原住民族人口-按性別族別,Seq;DateListed;Year;Month;CategorizedGeneralGeographic;Region;Countryside;Gender;TotalPopulation;Amis;Tayal;Payuan;Bunun;Rukai;Pinuyumayan;Cou;SaySiyat;Tao_Yami;Thau;Kebalan;Truku;Sakizaya;Seediq;Hlaalua;Kanakanavu;EthnicityUnclassed,原住民族委員會
歷年台閩縣市鄉鎮市區原住民族人口-原鄉人數統計,10143,歷年台閩縣市鄉鎮市區原住民族人口-原鄉人數統計,Seq;DateListed;Year;Month;CategorizedGeneralGeographic<br>;Region;Countryside;Gender;TotalPopulation;Amis;Tayal;Payuan;Bunun;Rukai;Pinuyumayan;Cou;SaySiyat;Tao_Yami;Thau;Kebalan;Truku;Sakizaya;Seediq;Hlaalua;Kanakanavu;EthnicityUnclassed,原住民族委員會
歷年台閩縣市鄉鎮市區原住民族人口-都會比例,10146,歷年台閩縣市鄉鎮市區原住民族人口-都會比例,Seq;DateListed;Year;Month;Region;Gender;TotalPopulation;TotalPercent;MountainPopulation;MountainPercent;GroundPopulation;GroundPercent;CityPopulation ;CityPercent ;GroundNumber;MountainNumber;HometownNumber,原住民族委員會
102年及103年性別統計專區資料填報表,11178,102年及103年性別統計專區資料:單位名稱、性別統計網頁建置、性別統計網頁內涵、網址、備 註,Seq;DateListed;主題;資料紀錄,原住民族委員會
104原住民族委員會法定預算,12580,104原住民族委員會法定預算:歲入來源別預算表、歲出機關別預算表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費分析表、預算員額明細表、公務車輛明細表、現有辦公房舍明細表、捐助經費分析表、派員出國計畫預算總表、派員出國計畫類別表-考察、歲出按職能及經濟性綜合分類表、委辦經費分析表,Seq;DateListed;主題;資料紀錄,原住民族委員會
原住民族委員會文化園區管理局104年度法定預算,12582,原住民族委員會文化園區管理局104年度法定預算:歲入來源別預算表、歲出機關別預算表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費分析表、預算員額明細表、公務車輛明細表、現有辦公房舍明細表、捐助經費分析表、派員出國計畫預算總表、派員出國計畫類別表-考察、歲出按職能及經濟性綜合分類表、委辦經費分析表,Seq;DateListed;主題;資料紀錄,原住民族委員會
原住民族綜合發展基金104年度附屬單位預算案,12631,"原住民族綜合發展基金104年度附屬單位預算案,工作計畫用途別科目及預算金額",Seq;DateListed;主題;資料紀錄,原住民族委員會
