公司登記資料-A農、林、漁、牧業,"['91693', '91696', '91709', '91713', '91719', '91722', '108351', '108371', '108374', '108389']"
公司登記資料-B礦業及土石採取業,"['91689', '91691', '91700', '91702', '91706', '91724']"
公司登記資料-C製造業,"['44676', '44692', '45644', '45662', '54294', '54295', '108354', '108363', '108367', '108385']"
公司登記資料-D水電燃氣業,"['91694', '91711', '91715', '91718', '91727', '91730']"
公司登記資料-E營造及工程業,"['91682', '91683', '91699', '91712', '91723', '91725']"
公司登記資料-F零售、批發及餐飲業,"['54290', '54291', '54293', '54296', '54297', '54298', '108338', '108342', '108386', '108390']"
公司登記資料-G運輸、倉儲及通信業,"['91680', '91686', '91695', '91705', '91728', '91731']"
公司登記資料-H金融、保險及不動產業,"['91681', '91685', '91687', '91697', '91701', '91717', '108341', '108343', '108347', '108382']"
公司登記資料-I專業、科學及技術服務業,"['53662', '53664', '54285', '54286', '54287', '54289', '108336', '108370', '108383', '108395']"
公司登記資料-J文化、運動、休閒及其他服務業,"['91688', '91698', '91703', '91704', '91714', '91716']"
公司登記資料-Z其他未分類業,"['91690', '91692', '91720', '91726', '91729', '91732']"
公司登記資料影像建檔勞務委外,['25698']
公司登記資料處理服務業,['22182']
公司登記資本額查詢,['84883']
公司登記關鍵字查詢,['84876']
公司登記電子資訊供應服務業,['22183']
公司行號營業項目代碼表,['8295']
公司解散、撒銷及廢止家數及實收資本額,['8300']
公司解散、撤銷及廢止家數,"['29262', '29266']"
公司解散、撤銷及廢止資本額,"['29252', '29271']"
公司解散登記清冊(月份),['6049']
公司設立登記清冊(月份),['6047']
公司變更登記清冊(月份),['6048']
公司負責人資料查詢,['84879']
公司資料異動查詢,['84880']
公告訂定「地質遺跡地質敏感區(H0018花蓮縣石梯坪海階及凝灰岩)」,['77874']
公告訂定「活動斷層地質敏感區(斷層)」,['77875']
公播版影片著作權介紹,['123142']
公文共用範本,['17114']
公文時效統計比較分析表,['17133']
公文核擬各簽核判行人員應注意事項,['17131']
公文流程管理及檢核作業要點,['17132']
公文線上簽核應用,['61177']
公有單位抗旱井,['129449']
其他類驗證登錄證書資料集,['41583']
再生能源-風力發電產業年投資總額,['32583']
出國考察研習人數性別統計,['94533']
出納事務查核計畫,['17134']
出納內部控制自行評估手冊,['17135']
出進口廠商新登記家數負責人性別統計表,['36422']
出進口廠商現有家數負責人性別統計表,['41497']
出進口廠商異動表,"['16531', '16538']"
出進口廠商登記資料,['79641']
刊登行政院公報作業流程,['23354']
刊登行政院公報應附(書)函稿檢核表,['23356']
利商股份有限公司申請停止對日本進口Ｈ型鋼課徵反傾銷稅案產業損害調查公開資料,['22973']
創新研究獎,['5974']
創新科技之經濟效益衡量與策略規劃計畫,"['94205', '102894', '126485']"
創新科技國際競合策略與政策研究計畫,['85128']
創業空間資料,['9647']
